order_id,order_date,market,region,product_id,sales,quantity,discount,profit
MX-2014-105921,5/28/2014,LATAM,Central,TEC-AC-10004626,342.08,2,0,0
ID-2013-61442,1/15/2013,APAC,Southeast Asia,OFF-BI-10001400,122.4,5,0.15,0
CA-2012-124891,7/31/2012,US,East,TEC-AC-10003033,2309.65,7,0,762.1845
IN-2013-77878,2/5/2013,APAC,Oceania,FUR-CH-10003950,3709.395,9,0.1,-288.765
IN-2013-71249,10/17/2013,APAC,Oceania,TEC-PH-10004664,5175.171,9,0.1,919.971
ES-2013-1579342,1/28/2013,EU,Central,TEC-PH-10004583,2892.51,5,0.1,-96.54
SG-2013-4320,11/5/2013,Africa,Africa,TEC-SHA-10000501,2832.96,8,0,311.52
IN-2013-42360,6/28/2013,APAC,Oceania,TEC-PH-10000030,2862.675,5,0.1,763.275
IN-2011-81826,11/7/2011,APAC,Oceania,FUR-CH-10004050,1822.08,4,0,564.84
IN-2012-86369,4/14/2012,APAC,Oceania,FUR-TA-10002958,5244.84,6,0,996.48
CA-2014-135909,10/14/2014,US,West,OFF-BI-10003527,5083.96,5,0.2,1906.485
CA-2012-116638,1/28/2012,US,South,FUR-TA-10000198,4297.644,13,0.4,-1862.3124
CA-2011-102988,4/5/2011,US,South,OFF-SU-10002881,4164.05,5,0,83.281
ID-2012-28402,4/19/2012,APAC,Central Asia,FUR-TA-10001889,4626.15,5,0,647.55
SA-2011-1830,12/27/2011,EMEA,EMEA,TEC-CIS-10001717,2616.96,4,0,1151.4
MX-2012-130015,11/13/2012,LATAM,South,FUR-CH-10002033,2221.8,7,0,622.02
IN-2013-73951,6/6/2013,APAC,North Asia,OFF-AP-10003500,3701.52,12,0,1036.08
ES-2014-5099955,7/31/2014,EU,Central,OFF-AP-10000423,1869.588,4,0.1,186.948
CA-2014-143567,11/3/2014,US,South,TEC-AC-10004145,2249.91,9,0,517.4793
ES-2014-1651774,9/8/2014,EU,South,OFF-AP-10004512,7958.58,14,0,3979.08
IN-2014-11763,1/31/2014,APAC,Oceania,TEC-CO-10000865,2565.594,9,0.1,28.404
TZ-2014-8190,12/5/2014,Africa,Africa,OFF-KIT-10004058,3409.74,6,0,818.28
PL-2012-7820,8/8/2012,EMEA,EMEA,FUR-HON-10000224,1977.72,4,0,276.84
CA-2011-154627,10/29/2011,US,Central,TEC-PH-10001363,2735.952,6,0.2,341.994
IN-2011-44803,5/2/2011,APAC,North Asia,FUR-CH-10000027,2754,6,0,358.02
ES-2013-2860574,2/27/2013,EU,North,OFF-AP-10003590,5273.7,10,0,1898.4
US-2014-133193,7/31/2014,LATAM,North,TEC-PH-10004182,1713.84,4,0,445.52
MX-2014-165309,9/5/2014,LATAM,Central,FUR-TA-10002827,2106.496,8,0.2,526.496
IN-2011-10286,12/17/2011,APAC,North Asia,FUR-TA-10004744,1715.16,2,0,720.36
ES-2011-4699764,3/14/2011,EU,Central,OFF-AP-10004512,3069.738,6,0.1,1364.238
CA-2013-159016,3/11/2013,US,West,TEC-PH-10002885,4158.912,8,0.2,363.9048
IN-2012-44810,2/25/2012,APAC,Central Asia,FUR-CH-10001415,1878.72,4,0,582.36
US-2011-128776,12/28/2011,LATAM,Caribbean,TEC-PH-10002815,1696.64,5,0.2,-148.46
ES-2012-5870268,7/17/2012,EU,Central,TEC-MA-10000161,2402.865,9,0.15,763.155
CA-2012-139731,10/15/2012,US,Central,FUR-CH-10002024,2453.43,5,0.3,-350.49
IN-2011-28087,11/3/2011,APAC,Oceania,OFF-AP-10004246,2526.93,5,0.1,561.48
CA-2011-168494,12/12/2011,US,West,FUR-TA-10003473,3610.848,12,0.2,135.4068
CG-2011-8610,9/14/2011,Africa,Africa,TEC-APP-10000308,3817.26,6,0,1068.66
CA-2011-160766,9/14/2011,US,East,TEC-MA-10003979,2799.96,4,0,1371.9804
US-2014-168116,11/5/2014,US,South,TEC-MA-10004125,7999.98,4,0.5,-3839.9904
ES-2014-2637201,1/14/2014,EU,North,TEC-CO-10000013,4141.02,13,0,1697.67
IN-2011-61302,1/10/2011,APAC,Oceania,TEC-PH-10004664,2875.095,5,0.1,511.095
ID-2013-63976,8/22/2013,APAC,Southeast Asia,TEC-PH-10000499,3200.5962,6,0.17,-77.2038
IN-2014-37320,11/11/2014,APAC,Central Asia,TEC-PH-10003856,4518.78,7,0,632.52
IN-2014-76016,9/26/2014,APAC,Central Asia,FUR-BO-10004852,5667.87,13,0,2097.03
ES-2012-5877219,12/13/2012,EU,North,TEC-PH-10004583,5785.02,9,0,404.73
IT-2011-3183678,9/23/2011,EU,Central,OFF-AP-10000486,3018.624,7,0.2,377.244
CA-2011-116904,9/23/2011,US,Central,OFF-BI-10001120,9449.95,5,0,4630.4755
IT-2013-3085011,3/8/2013,EU,Central,FUR-CH-10003365,2092.5,5,0.1,720.75
IN-2014-50473,8/28/2014,APAC,North Asia,FUR-CH-10000602,2761.2,6,0,110.34
IN-2014-35983,5/1/2014,APAC,Central Asia,TEC-MA-10002680,2174.13,7,0,500.01
MX-2014-126984,12/18/2014,LATAM,South,FUR-CH-10000891,3473.14,11,0,868.12
US-2012-163825,6/16/2012,US,East,OFF-BI-10003527,3050.376,3,0.2,1143.891
IR-2014-8540,9/18/2014,EMEA,EMEA,TEC-CAN-10003392,2108.64,8,0,527.04
US-2014-135013,7/25/2014,US,West,TEC-CO-10001449,2399.96,5,0.2,839.986
IN-2011-10286,12/17/2011,APAC,North Asia,FUR-BO-10001372,2197.5,5,0,153.75
MZ-2013-3690,12/18/2013,Africa,Africa,TEC-MOT-10002272,2582.16,4,0,593.88
IN-2012-66342,5/30/2012,APAC,Central Asia,TEC-CO-10004997,1526.52,4,0,732.72
CA-2012-111829,3/19/2012,US,West,TEC-CO-10001766,3149.93,7,0,1480.4671
IN-2012-48240,5/25/2012,APAC,Central Asia,FUR-TA-10000226,1745.34,2,0,226.86
IN-2014-61792,8/5/2014,APAC,Oceania,OFF-AP-10002244,4191.507,9,0.1,1164.267
CA-2014-129021,8/24/2014,US,South,TEC-PH-10001459,4367.896,13,0.2,327.5922
IN-2014-75470,3/11/2014,APAC,Central Asia,FUR-BO-10001073,3063.27,7,0,581.91
CA-2012-114811,11/8/2012,US,East,TEC-MA-10000045,4643.8,4,0,2229.024
ES-2014-4673578,8/11/2014,EU,Central,TEC-PH-10002035,4473,7,0,313.11
IT-2013-3376681,8/31/2013,EU,Central,TEC-PH-10002565,1502.01,9,0,225.18
IN-2014-66615,1/18/2014,APAC,North Asia,FUR-CH-10000027,5049,11,0,656.37
CA-2013-143805,12/2/2013,US,South,OFF-AP-10002945,2104.55,7,0,694.5015
IT-2014-4540740,12/7/2014,EU,South,FUR-BO-10004999,2188.05,5,0,1050.15
IN-2014-11231,12/16/2014,APAC,Central Asia,FUR-TA-10001205,1920.36,4,0,652.92
MX-2014-154907,11/20/2014,LATAM,North,TEC-PH-10004196,1704,4,0,119.28
UP-2011-8610,11/9/2011,EMEA,EMEA,FUR-CHR-10001018,1858.68,4,0,130.08
IN-2013-40050,6/7/2013,APAC,North Asia,FUR-CH-10003232,3298.26,7,0,1055.25
MX-2011-110275,11/22/2011,LATAM,Central,OFF-AP-10001630,2443.48,13,0,121.94
CG-2013-6110,3/29/2013,Africa,Africa,FUR-HAR-10002873,3808.8,8,0,1523.52
IN-2014-30110,8/26/2014,APAC,Southeast Asia,FUR-TA-10000687,3427.1496,7,0.47,-452.8104
ES-2012-2058076,9/20/2012,EU,North,TEC-PH-10004505,3441.69,6,0.1,38.07
IN-2014-51950,5/16/2014,APAC,Oceania,TEC-PH-10002683,2863.35,5,0.1,858.9
CA-2012-145352,3/16/2012,US,South,OFF-BI-10003527,6354.95,5,0,3177.475
ES-2013-4670866,11/24/2013,EU,Central,TEC-CO-10002269,1487.4,10,0,728.7
IN-2011-62506,11/9/2011,APAC,North Asia,TEC-CO-10002526,3200.04,9,0,1183.95
IN-2011-46413,10/28/2011,APAC,Central Asia,FUR-CH-10000602,2301,5,0,91.95
ES-2014-3785216,11/19/2014,EU,Central,FUR-CH-10002891,5729.346,14,0.1,63.546
MO-2014-2000,10/28/2014,Africa,Africa,TEC-CAN-10001437,5301.24,14,0,2597.28
CA-2014-138289,1/17/2014,US,Central,OFF-BI-10004995,5443.96,4,0,2504.2216
CA-2014-118892,8/18/2014,US,East,FUR-CH-10002024,4416.174,9,0.3,-630.882
ES-2013-1434123,1/29/2013,EU,Central,TEC-PH-10004327,3219.9,5,0,965.85
ID-2012-78207,9/18/2012,APAC,Southeast Asia,OFF-AP-10001621,2487.8088,6,0.17,-269.7912
MO-2013-8630,11/23/2013,Africa,Africa,OFF-HOO-10001881,2266.44,4,0,113.28
IN-2012-64774,6/13/2012,APAC,Oceania,TEC-CO-10001954,3068.361,9,0.1,1124.901
IN-2013-48765,10/28/2013,APAC,Central Asia,FUR-BO-10003282,3728.43,9,0,1192.86
IN-2013-69730,12/12/2013,APAC,North Asia,TEC-CO-10003102,1581.48,6,0,0
IN-2012-48240,5/25/2012,APAC,Central Asia,TEC-PH-10004664,1916.73,3,0,498.33
US-2013-102239,5/6/2013,US,West,FUR-TA-10003392,1685.88,6,0,320.3172
ES-2013-3467296,12/2/2013,EU,Central,OFF-AP-10002552,2432.16,5,0.1,513.36
CA-2014-6550,12/23/2014,Canada,Canada,TEC-MOT-10000554,3863.88,6,0,1159.02
ID-2013-25742,1/28/2013,APAC,Southeast Asia,FUR-CH-10001415,2465.82,7,0.25,197.19
IN-2012-86698,5/7/2012,APAC,Oceania,FUR-TA-10003627,1847.52,2,0,738.96
ES-2013-2903666,11/27/2013,EU,Central,FUR-BO-10001133,2899.89,7,0,927.78
IN-2012-30446,11/28/2012,APAC,Oceania,FUR-CH-10000027,2891.7,7,0.1,96.39
IT-2012-1779015,9/29/2012,EU,Central,TEC-MA-10003515,2016.846,9,0.15,-0.054
ES-2013-3903130,9/3/2013,EU,Central,OFF-AP-10002904,3155.544,7,0.1,34.944
CG-2013-3470,7/26/2013,Africa,Africa,TEC-MOT-10003348,3856.14,6,0,1465.2
IN-2014-13639,11/19/2014,APAC,Oceania,TEC-PH-10001990,3524.472,6,0.1,861.372
ES-2012-2510515,6/19/2012,EU,Central,TEC-PH-10002898,2167.296,4,0.15,790.416
MX-2012-153157,10/11/2012,LATAM,North,TEC-PH-10004196,2556,6,0,178.92
ES-2011-2585328,8/9/2011,EU,Central,TEC-CO-10001633,1469.25,5,0,308.4
ES-2011-4500805,11/5/2011,EU,Central,TEC-PH-10002623,4448.832,8,0.15,1517.712
CA-2014-107174,11/7/2014,US,West,FUR-TA-10004575,2036.86,7,0,366.6348
MX-2013-113824,4/26/2013,LATAM,South,FUR-BO-10001498,2472.66,9,0,914.76
IN-2013-45076,12/26/2013,APAC,Oceania,OFF-AP-10003598,3739.176,8,0.1,747.816
IT-2013-5208514,3/13/2013,EU,Central,FUR-CH-10001582,2570.865,11,0.5,-2211.165
US-2013-107440,4/17/2013,US,East,TEC-MA-10001047,9099.93,7,0,2365.9818
ES-2012-2314672,4/5/2012,EU,Central,TEC-PH-10000505,2875.77,9,0.5,-1783.08
ES-2012-4765389,12/26/2012,EU,South,FUR-BO-10002003,1741.8,4,0,261.24
IN-2013-15368,4/18/2013,APAC,Oceania,TEC-CO-10001775,1601.64,5,0.1,587.19
IN-2011-18385,5/24/2011,APAC,North Asia,OFF-AP-10000647,3670.8,7,0,367.08
CA-2012-149846,5/22/2012,US,West,TEC-MA-10004002,2973.32,7,0.2,334.4985
ES-2013-2757712,5/16/2013,EU,Central,TEC-CO-10001926,1900.95,5,0,589.2
CA-2011-106726,12/6/2011,US,West,OFF-ST-10001496,1261.33,7,0,327.9458
IT-2011-1978668,2/16/2011,EU,Central,FUR-CH-10002203,4544.1,11,0.1,1868.13
IN-2013-63773,5/31/2013,APAC,North Asia,FUR-BO-10001934,1455.12,4,0,116.4
IN-2013-10965,10/1/2013,APAC,Oceania,TEC-CO-10000562,1943.19,6,0.1,258.93
CA-2011-145541,12/14/2011,US,East,TEC-MA-10001127,6999.96,4,0,2239.9872
CA-2013-117121,12/18/2013,US,Central,OFF-BI-10000545,9892.74,13,0,4946.37
ID-2013-79432,12/11/2013,APAC,Oceania,TEC-CO-10002035,1695.87,5,0.1,-37.83
IT-2014-4499061,3/18/2014,EU,Central,TEC-CO-10004099,1505.979,6,0.15,-265.761
IN-2014-34226,12/19/2014,APAC,Southeast Asia,TEC-PH-10003002,1954.17,3,0,312.66
CA-2011-136567,12/20/2011,US,South,FUR-TA-10001932,2244.48,7,0,493.7856
CA-2013-143714,5/24/2013,US,East,TEC-CO-10004722,8399.976,4,0.4,1119.9968
CA-2011-151330,10/14/2011,US,East,FUR-CH-10000749,1628.82,9,0,260.6112
MX-2014-158386,9/18/2014,LATAM,South,TEC-CO-10004398,1213.18876,7,0.002,508.00876
IN-2013-30663,11/25/2013,APAC,Central Asia,TEC-CO-10004535,1590.6,5,0,572.55
IN-2013-77444,11/7/2013,APAC,North Asia,TEC-AC-10000420,2330.64,9,0,1025.46
IN-2014-39077,7/19/2014,APAC,Southeast Asia,FUR-BO-10001212,3278.5848,8,0.07,140.8248
ID-2012-60980,8/16/2012,APAC,Southeast Asia,TEC-PH-10001670,3741.5238,7,0.17,946.6338
CA-2013-128594,8/27/2013,US,West,FUR-CH-10001215,1603.136,4,0.2,100.196
IN-2012-57025,1/11/2012,APAC,Southeast Asia,FUR-BO-10004679,3637.602,10,0.07,156.402
MX-2013-157868,1/28/2013,LATAM,North,OFF-AP-10001776,2455.88,7,0,785.82
ID-2012-66111,6/14/2012,APAC,North Asia,TEC-MA-10003704,1024.68,8,0.5,-286.92
CA-2011-120474,12/1/2011,US,Central,FUR-CH-10001854,2807.84,8,0,673.8816
CA-2013-100300,6/25/2013,US,West,TEC-MA-10000984,4476.8,4,0.2,503.64
MX-2012-164791,12/6/2012,LATAM,South,TEC-AC-10000376,2297.96,14,0,988.12
IT-2013-1350483,9/5/2013,EU,South,TEC-CO-10003800,2671.41,7,0,534.24
SO-2014-4990,9/18/2014,Africa,Africa,TEC-SAM-10004230,3834,6,0,268.38
CA-2014-149559,9/12/2014,US,West,FUR-CH-10002320,2054.272,8,0.2,256.784
IN-2012-30943,8/3/2012,APAC,Southeast Asia,OFF-AP-10002312,3501.7368,8,0.17,210.8568
IN-2014-13324,12/9/2014,APAC,Oceania,TEC-PH-10000169,1725.462,3,0.1,747.612
IN-2012-46889,10/25/2012,APAC,North Asia,TEC-CO-10000865,1583.7,5,0,174.15
CA-2012-114069,7/13/2012,US,East,FUR-CH-10000595,1931.04,9,0.1,321.84
ID-2013-35640,8/27/2013,APAC,Oceania,FUR-BO-10000288,2760.345,7,0.1,-214.725
IN-2011-30292,5/13/2011,APAC,Central Asia,TEC-AC-10000866,3078.72,12,0,523.08
IT-2011-3675195,11/3/2011,EU,Central,OFF-AP-10001623,1983.135,7,0.5,-1784.895
ES-2014-2034971,8/2/2014,EU,Central,FUR-BO-10003541,1112.778,3,0.1,296.658
ES-2011-1426891,9/20/2011,EU,Central,TEC-CO-10004365,3616.5,10,0,36
CA-2014-159366,1/8/2014,US,Central,TEC-MA-10000822,3059.982,2,0.1,679.996
IN-2013-14773,3/11/2013,APAC,Oceania,TEC-PH-10000499,2892.105,5,0.1,160.605
ES-2012-4934238,2/2/2012,EU,Central,TEC-PH-10000800,3263.4,5,0,848.4
CA-2013-108987,9/9/2013,US,Central,FUR-BO-10004834,2396.2656,4,0.32,-317.1528
MX-2014-111941,4/9/2014,LATAM,Central,FUR-TA-10001642,3117.088,13,0.2,38.948
US-2013-143819,3/2/2013,US,East,TEC-MA-10003979,4899.93,7,0,2400.9657
MX-2014-152961,3/19/2014,LATAM,North,OFF-AP-10001041,1888.7,5,0,887.6
IN-2013-17041,10/2/2013,APAC,North Asia,OFF-AP-10002090,3000.78,6,0,1080.18
ES-2013-4679331,1/12/2013,EU,South,OFF-AP-10002330,3801.63,7,0,1444.59
SA-2014-1270,8/20/2014,EMEA,EMEA,TEC-CIS-10002344,5211.12,8,0,1146.24
IN-2011-10286,12/17/2011,APAC,North Asia,FUR-TA-10002153,1356.03,3,0,311.85
IN-2014-12897,3/14/2014,APAC,Oceania,OFF-AP-10004964,3569.643,7,0.1,674.163
CA-2013-134887,3/26/2013,US,Central,TEC-AC-10003832,1287.45,5,0,244.6155
ID-2014-10076,7/9/2014,APAC,Southeast Asia,FUR-BO-10004679,2910.0816,8,0.07,125.1216
ID-2013-70122,6/11/2013,APAC,Southeast Asia,FUR-CH-10002061,3126.4002,9,0.27,-128.7198
ES-2011-2257437,8/10/2011,EU,North,TEC-PH-10002759,5276.988,9,0.1,1758.888
ID-2014-63920,3/17/2014,APAC,Southeast Asia,TEC-PH-10001699,2645.376,5,0.17,-0.024
ID-2013-29564,1/2/2013,APAC,Oceania,FUR-BO-10001934,1637.01,5,0.1,-36.39
CA-2013-108196,11/26/2013,US,East,TEC-MA-10000418,4499.985,5,0.7,-6599.978
ID-2012-36403,10/10/2012,APAC,Southeast Asia,TEC-PH-10001699,2645.376,5,0.17,-0.024
CA-2014-127180,10/23/2014,US,East,TEC-PH-10001494,2399.6,8,0,647.892
